IMEI,Date,pm1conc_1hrs,pm10conc_1hrs,pm25raw_1hrs,pm25conc_1hrs, battery, aqi, latitude, longitude, humidity, temperature, wind speed, wind direction,severity,health_impact
868996034800250,"2018-12-11T16:30:37.449+05:30",91.0,188.0,167.0,167.0,100.0,336.0,23.205244,72.843399,53.9,28.0,0.0,0.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2018-12-11T17:10:29.128+05:30",45.0,90.0,75.0,75.0,100.0,150.0,23.205244,72.843399,43.0,30.0,13.0,310.0,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-19T16:18:42.549+05:30",40.0,72.0,63.0,63.0,99.0,110.0,23.205244,72.843399,35.0,29.0,2.6,0.0,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-29T18:12:36.541+05:30",36.0,69.0,57.0,57.0,89.0,95.0,23.205244,72.843399,46.4,27.0,6.2,139.2,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-29T19:00:27.098+05:30",35.0,67.0,54.0,54.0,82.0,90.0,23.205244,72.843399,47.4,25.0,6.5,134.8,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-29T20:00:01.762+05:30",35.0,67.0,54.0,54.0,77.0,90.0,23.205244,72.843399,45.8,24.0,8.0,183.1,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-29T21:00:22.702+05:30",37.0,68.0,57.0,57.0,69.0,95.0,23.205244,72.843399,42.1,24.0,5.4,159.9,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-29T22:00:50.320+05:30",38.0,68.0,57.0,57.0,61.0,95.0,23.205244,72.843399,40.1,24.0,5.5,213.4,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-29T23:00:55.602+05:30",39.0,69.0,59.0,59.0,54.0,98.0,23.205244,72.843399,44.0,23.0,0.0,157.0,Satisfactory,Minor breathing discomfort to sensitive people
868996034800250,"2018-12-30T00:00:46.178+05:30",44.0,75.0,66.0,66.0,50.0,120.0,23.205244,72.843399,47.7,22.0,2.7,182.0,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-30T01:00:33.981+05:30",53.0,85.0,80.0,80.0,49.0,167.0,23.205244,72.843399,51.0,21.0,0.0,112.0,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-30T02:00:48.008+05:30",61.0,98.0,93.0,93.0,45.0,210.0,23.205244,72.843399,50.8,21.0,0.2,125.4,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2018-12-30T03:00:42.303+05:30",61.0,98.0,93.0,93.0,41.0,210.0,23.205244,72.843399,49.5,20.0,1.7,169.4,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2018-12-30T04:00:46.502+05:30",59.0,95.0,90.0,90.0,40.0,200.0,23.205244,72.843399,49.2,20.0,2.2,101.3,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-30T05:00:50.747+05:30",57.0,91.0,86.0,86.0,34.0,187.0,23.205244,72.843399,50.0,20.0,1.5,156.8,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-30T06:00:10.726+05:30",54.0,88.0,83.0,83.0,29.0,177.0,23.205244,72.843399,49.0,19.0,3.0,243.1,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2018-12-30T07:00:11.181+05:30",55.0,89.0,84.0,84.0,22.0,180.0,23.205244,72.843399,48.1,19.0,3.6,141.7,Moderate,Breathing discomfort for people with sensitive lungs; asthma and/or heart diseases
868996034800250,"2019-01-02T18:22:17.530+05:30",67.0,107.0,102.0,102.0,85.0,240.0,23.205244,72.843399,56.0,27.0,4.3,135.0,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-02T19:00:21.009+05:30",66.0,105.0,100.0,100.0,88.0,233.0,23.205244,72.843399,56.5,26.0,3.5,340.8,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-02T20:00:01.221+05:30",71.0,112.0,108.0,108.0,96.0,260.0,23.205244,72.843399,60.2,25.0,4.0,206.6,Poor,Breathing discomfort to most people on prolonged exposure
868996034800250,"2019-01-02T21:00:37.595+05:30",87.0,140.0,133.0,133.0,100.0,310.0,23.205244,72.843399,68.6,24.0,2.3,180.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-02T22:00:21.902+05:30",135.0,227.0,215.0,215.0,100.0,373.0,23.205244,72.843399,76.0,23.0,2.6,208.2,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-02T23:00:16.486+05:30",126.0,211.0,199.0,199.0,100.0,361.0,23.205244,72.843399,78.1,23.0,0.7,162.1,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T00:00:27.307+05:30",125.0,210.0,199.0,199.0,100.0,361.0,23.205244,72.843399,83.0,22.0,0.0,112.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T01:00:03.303+05:30",125.0,211.0,199.0,199.0,100.0,361.0,23.205244,72.843399,88.6,22.0,1.7,272.1,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T02:00:03.323+05:30",123.0,207.0,196.0,196.0,100.0,358.0,23.205244,72.843399,89.0,21.0,0.0,292.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T03:00:07.424+05:30",122.0,205.0,193.0,193.0,100.0,356.0,23.205244,72.843399,88.4,20.0,0.0,162.5,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T04:00:37.344+05:30",129.0,218.0,205.0,205.0,100.0,365.0,23.205244,72.843399,74.9,20.0,0.0,123.6,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T05:00:11.283+05:30",122.0,206.0,194.0,194.0,100.0,357.0,23.205244,72.843399,21.4,6.0,0.0,39.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T06:00:40.781+05:30",116.0,195.0,183.0,183.0,100.0,348.0,23.205244,72.843399,60.1,20.0,2.1,66.6,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T07:00:34.123+05:30",110.0,184.0,173.0,173.0,100.0,341.0,23.205244,72.843399,61.0,20.0,0.0,157.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T08:00:34.102+05:30",113.0,189.0,178.0,178.0,100.0,345.0,23.205244,72.843399,62.9,20.0,0.0,139.6,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T09:00:57.697+05:30",121.0,205.0,192.0,192.0,100.0,355.0,23.205244,72.843399,49.5,25.0,1.4,162.2,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T10:01:06.984+05:30",111.0,190.0,177.0,177.0,100.0,344.0,23.205244,72.843399,71.1,19.0,0.9,52.2,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T11:00:08.509+05:30",113.0,202.0,185.0,185.0,100.0,350.0,23.205244,72.843399,81.0,16.0,0.0,0.0,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T12:00:19.650+05:30",95.0,161.0,151.0,151.0,100.0,324.0,23.205244,72.843399,41.3,32.0,0.0,110.2,Very Poor,Respiratory illness on prolonged exposure
868996034800250,"2019-01-03T13:00:13.626+05:30",82.0,137.0,129.0,129.0,100.0,307.0,23.205244,72.843399,26.6,39.0,0.6,138.0,Very Poor,Respiratory illness on prolonged exposure
